,word,Univariate,Binary,classification
0,APPLE,1.18828467,0.444044655,2
1,FLAIL,1.100134103,0.261190918,2
2,STAGE,1.344860275,0.502577659,1
3,HEADY,1.133257726,0.279139242,1
4,DEBUG,0.965350616,0.281625068,1
5,GIANT,1.111439167,0.278220549,1
6,USAGE,1.308076254,0.320885312,1
7,SOUND,1.165135518,0.472163035,1
8,SALSA,1.531335749,0.512993969,3
9,MAGIC,0.999726683,0.284539673,1
10,eerie,1.504392765,0.558885764,3
