word,1,2,3,4,5,avg,var,std
apple,0.09244190535011194,0.031112483594534085,0.031112483594534085,0.05201883733498031,0.10277155871226742,0.04805169269688614,0.0009193343274474048,0.03032052650346634
flail,0.0171852080599089,0.05201883733498031,0.09244190535011194,0.05794796572222651,0.05201883733498031,0.0400924839715167,0.0005712050483856532,0.0238998964095172
stage,0.10267891608121671,0.050829923569829384,0.09244190535011194,0.02532231915386397,0.10277155871226742,0.05589632094706637,0.000978696790155983,0.03128413000478011
heady,0.02711341002084459,0.10277155871226742,0.09244190535011194,0.03779819346869451,0.03191538639697367,0.043395551905650115,0.001046481223539303,0.03234936202677424
debug,0.03779819346869451,0.10277155871226742,0.025090712576237167,0.03874006021771018,0.02532231915386397,0.03537420804091294,0.0008415471314617326,0.029009431767301693
giang,0.02532231915386397,0.05794796572222651,0.09244190535011194,0.045549293599938236,0.02532231915386397,0.038756562179777326,0.0006199872119601425,0.024899542404633514
usage,0.03874006021771018,0.10267891608121671,0.09244190535011194,0.02532231915386397,0.10277155871226742,0.05230620809164109,0.0011180442956773289,0.03343716937297966
sound,0.10267891608121671,0.06838570215394117,0.03874006021771018,0.045549293599938236,0.03779819346869451,0.05071732631948717,0.0006072318958668123,0.02464207572155423
salsa,0.10267891608121671,0.09244190535011194,0.05201883733498031,0.10267891608121671,0.09244190535011194,0.08286760305009504,0.0003528048626998671,0.018783100454926687
magic,0.03049486605419594,0.09244190535011194,0.02532231915386397,0.05794796572222651,0.031236007102601715,0.03777232148118607,0.0006348951538139996,0.025197125903840694
eerie,0.10277155871226742,0.10277155871226742,0.06417046244113332,0.05794796572222651,0.10277155871226742,0.08060445545456382,0.00042145267324109726,0.020529312536982265
